"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test ensures that the health check endpoint responds within an acceptable timeframe (1.5s).","181","Test 18 - Verify API Response Latency","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test create booking reservation and updating the name of the reservation","500","Test - 07 Verify Updating Booking via API","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Verify that the API returns a valid JSON with rooms list","249","Test 11 - Verify Get All Rooms List","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that the hotel branding details (like name) are returned correctly.","291","Test 14 - Verify Hotel Branding Information","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verify that a token can be created and saved successfully","3728","Test 01 - Verify Token Is Created Successfully","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns 401 Unauthorized when attempting to fetch all bookings without a token.","404","Test 16 - Verify Unauthorized Access to Bookings is Blocked","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test Checks if the system stays stable when many users use it at the same time","5227","Test 21 - API Load Testing with k6","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a specific booking reservation can be successfully retrieved via the API.","329","Test 02 - Verify Booking Reservation via API","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to create a second booking with the same room and dates.","498","Test - 09 Verify Server Blocks Duplicate Booking Creation","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"","664","Test 12 - Create Room and Verify in List","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test Checks how the system handles a sudden, fast jump in the number of users","2557","Test 23 - Spike Test (Sudden Load)","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","405","Test 05 - Verify Room Creation via API (DDT)","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to update an existing booking with the exact same room and dates","494","Test - 08 Verify Server Blocks Duplicate Booking Update","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"","4542","test_00_health_check","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","379","Test 05 - Verify Room Creation via API (DDT)","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that all bookings can be successfully via the API.","383","Test 03 - Verify All Bookings via API","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a new room can be successfully created via the API","430","Test 04 - Verify Create Room via API","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test Finds the limit of how much load the server can take before it breaks","2489","Test 22 - Finding Server Limit","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that the API returns the correct Content-Type header.","222","Test 19 - Verify Response Headers Content-Type","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies the message API is up and returns a valid message count.","3532","Test 10 - Verify Message Count API","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test attempts to delete a booking with an invalid ID to verify error handling.","261","Test 17 - Verify Delete Non-Existent Booking Fails","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that the API returns correct details for room ID 1.","269","Test 15 - Get Specific Room Details","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test creates a booking and then deletes it to verify the DELETE flow","2513","Test 06 - Verify Delete Booking via API","tests.api","2026-06-23","failed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","387","Test 05 - Verify Room Creation via API (DDT)","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","395","Test 05 - Verify Room Creation via API (DDT)","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"Check that the message count API returns 200 OK and valid JSON data.","243","Test 13 - Verify Message Count","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies the structure of the branding response using APIVerify.","231","Test 20 - Verify Branding JSON Schema","tests.api","2026-06-23","passed","2026-06-23","TestHotelBookingApi","test_api_hotel_booking","",""
